access,tests,exam,project,assignments,Target
1256,57.0,19.0,91.54,40.0,1
985,42.87,19.0,75.96,13.7,1
1455,54.5,16.0,96.79,40.0,1
998,54.5,16.0,93.36,40.0,1
1347,55.0,16.0,92.86,39.0,1
1000,54.5,16.0,94.55,37.0,1
1216,51.0,13.0,98.77,40.0,1
737,51.0,15.0,96.7,40.0,1
782,56.0,20.0,93.17,32.0,1
799,52.0,14.0,90.93,39.0,1
1506,49.0,17.0,97.54,40.0,1
776,55.5,17.0,89.18,24.0,1
699,55.5,19.0,87.82,23.0,1
615,54.5,19.0,86.64,24.0,1
1065,52.5,15.0,90.0,24.0,1
482,53.5,17.0,85.23,24.0,1
459,56.5,19.0,84.41,19.0,1
592,54.0,16.0,87.34,21.0,1
779,51.5,16.0,88.41,24.0,1
619,38.84,20.0,70.15,14.86,1
738,43.33,19.0,81.09,12.36,1
2392,38.44,16.0,77.7,14.59,1
595,49.07,20.0,82.55,15.31,1
424,37.4,20.0,66.54,11.8,1
1047,48.84,18.0,77.44,14.4,1
930,47.33,18.0,77.44,14.5,1
1275,45.33,20.0,60.4,11.48,1
349,0.0,0.0,0.0,14.0,1
697,41.07,19.0,75.84,14.4,1
359,40.7,19.0,76.2,14.5,1
1085,42.53,16.0,73.94,11.5,1
457,36.48,18.0,79.52,12.7,1
620,37.0,19.0,77.13,11.6,1
701,40.43,18.0,75.88,13.4,1
816,34.57,18.0,79.19,12.7,1
969,52.0,17.0,88.59,40.0,1
841,49.0,16.0,95.74,40.0,1
945,49.5,11.0,93.94,40.0,1
2089,49.0,16.0,94.56,40.0,1
912,48.0,14.0,96.59,40.0,1
680,49.0,15.0,93.44,40.0,1
1537,46.5,15.0,97.91,40.0,1
615,40.23,17.0,77.9,11.7,1
1757,49.0,14.0,88.06,40.0,1
616,50.0,14.0,99.48,31.0,1
630,45.0,16.0,96.08,39.0,1
1081,51.0,17.0,85.89,35.0,1
1054,46.0,16.0,90.79,40.0,1
674,45.0,15.0,92.98,40.0,1
1354,50.0,17.0,90.03,33.0,1
978,45.0,12.0,98.13,36.0,1
849,49.0,16.0,79.79,40.0,1
712,46.0,14.0,88.02,40.0,1
1056,50.0,14.0,90.99,31.0,1
2135,45.0,14.0,89.1,39.0,1
936,45.5,13.0,90.85,37.0,1
967,42.5,14.0,93.85,40.0,1
426,53.0,15.0,87.0,20.0,1
442,49.5,17.0,84.14,24.0,1
696,53.82,10.0,75.13,15.42,1
697,48.0,17.0,86.8,24.0,1
485,48.0,14.0,88.98,23.0,1
973,46.56,10.0,80.66,14.13,1
513,47.5,15.0,85.77,24.0,1
561,47.5,14.0,85.16,24.0,1
1084,50.5,20.0,71.8,24.0,1
1053,50.0,16.0,66.27,24.0,1
925,45.0,16.0,85.98,24.0,1
515,47.5,13.0,75.14,24.0,1
466,47.5,14.0,84.36,20.0,1
498,47.5,20.0,73.3,24.0,1
275,53.0,17.0,84.27,16.0,1
397,54.5,18.0,69.34,15.0,1
172,53.5,14.0,0.0,2.0,1
1470,34.82,17.0,73.78,14.0,1
768,32.96,16.0,80.0,11.7,1
649,33.5,17.0,76.32,9.7,1
625,31.8,17.0,76.53,12.0,1
598,39.9,15.0,76.65,8.7,1
623,34.4,16.0,77.01,11.7,1
457,39.63,15.0,77.98,7.7,1
843,35.78,17.0,73.58,9.4,1
433,36.3,18.0,67.88,9.7,1
723,28.67,20.0,67.43,11.9,1
583,35.8,17.0,68.85,11.4,1
577,30.53,18.0,69.7,13.5,1
411,37.13,16.0,71.84,9.5,1
696,35.07,16.0,70.12,13.2,1
1085,43.0,13.0,94.18,35.0,1
504,38.4,17.0,68.48,9.1,1
592,31.75,17.0,73.33,10.27,1
614,35.7,19.0,71.27,8.6,1
1354,41.5,14.0,88.4,40.0,1
383,35.8,17.0,70.87,7.9,1
469,31.02,18.0,69.49,9.7,1
1197,45.0,15.0,89.88,33.0,1
1153,32.26,16.0,77.13,10.4,1
708,43.67,15.0,68.0,9.6,1
1664,43.0,15.0,80.63,40.0,1
521,34.65,17.0,70.75,7.9,1
682,31.48,17.0,73.62,5.9,1
736,31.69,17.0,72.2,6.1,1
472,36.87,16.0,70.59,7.4,1
1162,39.0,14.0,89.41,37.0,1
680,43.64,10.0,78.47,13.17,1
893,40.0,14.0,89.75,34.0,1
1118,42.0,9.0,82.54,35.0,1
583,40.82,10.0,82.17,11.74,1
777,40.13,9.0,81.48,15.41,1
1021,41.0,5.0,85.36,34.0,1
810,43.33,10.0,78.95,12.3,1
464,48.0,15.0,84.61,18.0,1
556,47.5,18.0,86.8,18.0,1
815,44.0,0.0,91.21,24.0,1
520,47.5,13.0,71.8,23.0,1
1039,50.91,6.0,82.17,12.81,1
1111,42.76,10.0,79.29,11.77,1
496,48.0,15.0,84.34,16.0,1
941,44.0,16.0,80.32,24.0,1
352,48.0,15.0,85.45,15.0,1
710,45.5,14.0,90.0,17.0,1
659,44.87,10.0,73.37,13.23,1
1265,44.53,9.0,77.66,9.63,1
676,47.07,10.0,70.06,12.36,1
359,47.0,14.0,81.68,17.0,1
772,43.2,9.0,76.76,9.94,1
379,43.5,12.0,78.95,23.0,1
570,51.0,16.0,75.89,12.0,1
475,39.16,10.0,74.35,13.31,1
487,36.22,10.0,76.59,13.45,1
558,45.5,15.0,80.25,18.0,1
630,43.82,9.0,70.32,15.27,1
498,44.5,15.0,87.55,16.0,1
558,45.64,11.0,66.41,12.5,1
501,41.56,10.0,75.38,8.5,1
534,40.0,10.0,84.07,23.0,1
306,45.5,17.0,73.3,18.0,1
863,38.5,10.0,84.61,24.0,1
439,41.5,14.0,89.18,17.0,1
582,43.5,14.0,85.77,15.0,1
319,47.0,10.0,70.23,15.0,1
305,44.0,15.0,79.57,16.0,1
303,42.5,15.0,84.07,16.0,1
384,43.42,20.0,69.46,10.75,1
666,29.73,15.0,72.04,13.9,1
375,29.62,16.0,68.81,11.7,1
668,31.47,17.0,68.04,8.4,1
905,27.5,15.0,74.63,11.7,1
405,32.93,15.0,73.33,5.9,1
500,32.52,14.0,74.06,6.3,1
1941,39.0,7.0,74.98,40.0,1
429,29.58,17.0,61.49,10.4,1
518,30.3,16.0,68.44,6.1,1
779,39.5,15.0,95.6,25.0,1
997,39.0,7.0,88.55,30.0,1
1583,41.5,14.0,78.24,31.0,1
1046,36.5,7.0,80.1,36.0,1
1311,39.0,8.0,91.14,25.0,1
837,36.91,10.0,74.22,11.79,1
403,38.31,10.0,72.89,12.14,1
512,38.53,11.0,67.4,14.68,1
1292,36.0,6.0,86.72,30.0,1
575,40.51,9.0,71.93,12.58,1
792,40.6,7.0,76.89,13.45,1
519,39.07,10.0,68.04,13.0,1
1043,35.31,10.0,70.62,11.99,1
1167,29.0,10.0,87.44,38.0,1
942,35.0,5.0,81.85,31.0,1
957,37.0,12.0,69.37,35.0,1
528,54.0,6.0,68.86,9.37,1
898,42.69,7.0,63.62,12.5,1
910,37.84,9.0,71.39,9.3,1
605,37.81,8.0,72.55,12.17,1
508,41.5,14.0,62.86,23.0,1
574,37.87,10.0,64.91,12.58,1
727,38.79,10.0,59.8,14.5,1
790,40.5,10.0,84.34,14.0,1
790,40.5,10.0,84.34,14.0,1
1158,43.78,20.0,69.37,11.72,1
456,39.0,10.0,77.39,18.0,1
378,43.0,12.0,78.89,9.0,1
828,38.5,10.0,57.68,24.0,1
419,44.5,12.0,52.5,24.0,1
331,41.0,10.0,72.55,13.0,1
281,36.0,15.0,83.59,16.0,1
323,42.0,12.0,60.68,15.0,1
356,43.5,15.0,63.07,11.0,1
208,41.5,16.0,73.77,12.0,1
440,37.0,10.0,0.0,18.0,1
267,21.5,0.0,0.0,4.0,1
505,34.09,20.0,73.11,9.41,1
303,34.69,20.0,66.88,9.92,1
569,44.67,20.0,64.09,6.5,1
518,31.93,12.0,73.45,7.7,1
472,34.57,12.0,65.25,10.0,1
286,30.37,8.0,75.47,17.0,1
686,31.5,9.0,84.5,32.0,1
710,35.0,12.0,89.21,19.0,1
1259,31.0,7.0,82.06,28.0,1
682,34.0,14.0,73.88,27.0,1
1026,33.7,10.0,65.85,7.63,1
259,42.4,7.0,66.83,8.0,1
936,26.0,10.0,92.24,26.0,1
314,34.5,15.0,74.68,17.0,1
373,34.5,12.0,79.23,14.0,1
524,37.5,8.0,73.09,10.0,1
540,37.5,19.0,75.95,7.0,1
289,37.0,16.0,66.61,11.0,1
419,31.0,12.0,74.09,13.0,1
618,32.5,16.0,83.06,30.0,1
442,28.0,12.0,59.52,12.0,0
360,24.0,0.0,82.33,7.0,0
598,31.55,0.0,43.88,6.1,0
645,16.0,0.0,71.15,20.0,0
298,25.5,10.0,58.32,9.0,0
548,53.0,20.0,0.0,0.0,0
614,48.33,0.0,0.0,18.33,0
